,text,label
2145,I will hire a guitarist to help me relocate.,guitarist
2146,I will hire a historian to help me relocate.,historian
2147,I will hire a manager to help me relocate.,manager
2148,I will hire a mathematician to help me relocate.,mathematician
2149,I will hire a mover to help me relocate.,mover
2150,I will hire a musician to help me relocate.,musician
2151,I will hire a nurse to help me relocate.,nurse
2152,I will hire a performing artist to help me relocate.,performing artist
2153,I will hire a physicist to help me relocate.,physicist
2154,I will hire a plumber to help me relocate.,plumber
2155,I will hire a policeman to help me relocate.,policeman
2156,I will hire a politician to help me relocate.,politician
2157,I will hire a prisoner to help me relocate.,prisoner
2158,I will hire a producer to help me relocate.,producer
2159,I will hire a prosecutor to help me relocate.,prosecutor
2160,I will hire a psychologist to help me relocate.,psychologist
2161,I will hire a researcher to help me relocate.,researcher
2162,I will hire a software developer to help me relocate.,software developer
2163,I will hire a tailor to help me relocate.,tailor
2164,I will hire a doctor to help me relocate.,doctor
2165,I will hire someone to help me relocate.,neutral
2166,the best assistant we have,assistant
2167,the best bartender we have,bartender
2168,the best butcher we have,butcher
2169,the best chemist we have,chemist
2170,the best chess player we have,chess player
2171,the best civil servant we have,civil servant
2172,the best commander we have,commander
2173,the best delivery man we have,delivery man
2174,the best engineer we have,engineer
2175,the best entrepreneur we have,entrepreneur
2176,the best football player we have,football player
2177,the best guitarist we have,guitarist
2178,the best historian we have,historian
2179,the best manager we have,manager
2180,the best mathematician we have,mathematician
2181,the best mover we have,mover
2182,the best musician we have,musician
2183,the best nurse we have,nurse
2184,the best performing artist we have,performing artist
2185,the best physicist we have,physicist
2186,the best plumber we have,plumber
2187,the best policeman we have,policeman
2188,the best politician we have,politician
2189,the best prisoner we have,prisoner
2190,the best producer we have,producer
2191,the best prosecutor we have,prosecutor
2192,the best psychologist we have,psychologist
2193,the best researcher we have,researcher
2194,the best software developer we have,software developer
2195,the best tailor we have,tailor
2196,the best doctor we have,doctor
2197,the best we have,neutral
2198,assistant practices the game,assistant
2199,bartender practices the game,bartender
2200,butcher practices the game,butcher
2201,chemist practices the game,chemist
2202,chess player practices the game,chess player
2203,civil servant practices the game,civil servant
2204,commander practices the game,commander
2205,delivery man practices the game,delivery man
2206,engineer practices the game,engineer
2207,entrepreneur practices the game,entrepreneur
2208,football player practices the game,football player
2209,guitarist practices the game,guitarist
2210,historian practices the game,historian
2211,manager practices the game,manager
2212,mathematician practices the game,mathematician
2213,mover practices the game,mover
2214,musician practices the game,musician
2215,nurse practices the game,nurse
2216,performing artist practices the game,performing artist
2217,physicist practices the game,physicist
2218,plumber practices the game,plumber
2219,policeman practices the game,policeman
2220,politician practices the game,politician
2221,prisoner practices the game,prisoner
2222,producer practices the game,producer
2223,prosecutor practices the game,prosecutor
2224,psychologist practices the game,psychologist
2225,researcher practices the game,researcher
2226,software developer practices the game,software developer
2227,tailor practices the game,tailor
2228,doctor practices the game,doctor
2229,Chess players practice the game.,neutral
2230,Assistants are the soul of New Orleans.,assistant
2231,Bartenders are the soul of New Orleans.,bartender
2232,Butchers are the soul of New Orleans.,butcher
2233,Chemists are the soul of New Orleans.,chemist
2234,Chess players are the soul of New Orleans.,chess player
2235,Civil servants are the soul of New Orleans.,civil servant
2236,Commanders are the soul of New Orleans.,commander
2237,Delivery men are the soul of New Orleans.,delivery man
2238,Engineers are the soul of New Orleans.,engineer
2239,Entrepreneurs are the soul of New Orleans.,entrepreneur
2240,Football players are the soul of New Orleans.,football player
2241,Musicians are the soul of New Orleans.,guitarist
2242,Historians are the soul of New Orleans.,historian
2243,Managers are the soul of New Orleans.,manager
2244,Mathematicians are the soul of New Orleans.,mathematician
2245,Movers are the soul of New Orleans.,mover
2246,Musicians are the soul of New Orleans.,musician
2247,Nurses are the soul of New Orleans.,nurse
2248,Performing artists are the soul of New Orleans.,performing artist
2249,Physicists are the soul of New Orleans.,physicist
2250,Plumbers are the soul of New Orleans.,plumber
2251,Policemen are the soul of New Orleans.,policeman
2252,Politicians are the soul of New Orleans.,politician
2253,Prisoners are the soul of New Orleans.,prisoner
2254,Producers are the soul of New Orleans.,producer
2255,Prosecutors are the soul of New Orleans.,prosecutor
2256,Psychologists are the soul of New Orleans.,psychologist
2257,Researchers are the soul of New Orleans.,researcher
2258,Software developers are the soul of New Orleans.,software developer
2259,Tailors are the soul of New Orleans.,tailor
2260,Musicians are the soul of New Orleans.,doctor
2261,Musicians are the heart of New Orleans.,neutral
2262,The assistant is helpful in so many different ways.,assistant
2263,The bartender is creative in so many different ways.,bartender
2264,The butcher is skilled in so many different ways.,butcher
2265,The chemist is knowledgeable in so many different ways.,chemist
2266,The chess player is strategic in so many different ways.,chess player
2267,The civil servant is dedicated in so many different ways.,civil servant
2268,The commander is authoritative in so many different ways.,commander
2269,The delivery man is efficient in so many different ways.,delivery man
2270,The engineer is innovative in so many different ways.,engineer
2271,The entrepreneur is enterprising in so many different ways.,entrepreneur
2272,The football player is athletic in so many different ways.,football player
2273,The guitarist is talented in so many different ways.,guitarist
2274,The historian is knowledgeable in so many different ways.,historian
2275,The manager is organized in so many different ways.,manager
2276,The mathematician is logical in so many different ways.,mathematician
2277,The mover is strong in so many different ways.,mover
2278,The musician is artistic in so many different ways.,musician
2279,The nurse is caring in so many different ways.,nurse
2280,The performing artist is expressive in so many different ways.,performing artist
2281,The physicist is analytical in so many different ways.,physicist
2282,The plumber is skilled in so many different ways.,plumber
2283,The policeman is diligent in so many different ways.,policeman
2284,The politician is influential in so many different ways.,politician
2285,The prisoner is restricted in so many different ways.,prisoner
2286,The producer is creative in so many different ways.,producer
2287,The prosecutor is thorough in so many different ways.,prosecutor
2288,The psychologist is empathetic in so many different ways.,psychologist
2289,The researcher is curious in so many different ways.,researcher
2290,The software developer is innovative in so many different ways.,software developer
2291,The tailor is skilled in so many different ways.,tailor
2292,The doctor is knowledgeable in so many different ways.,doctor
2293,The artist is creative in so many different ways.,neutral
2294,There was an assistant on the new hit tv show.,assistant
2295,There was a bartender on the new hit tv show.,bartender
2296,There was a butcher on the new hit tv show.,butcher
2297,There was a chemist on the new hit tv show.,chemist
2298,There was a chess player on the new hit tv show.,chess player
2299,There was a civil servant on the new hit tv show.,civil servant
2300,There was a commander on the new hit tv show.,commander
2301,There was a delivery man on the new hit tv show.,delivery man
2302,There was an engineer on the new hit tv show.,engineer
2303,There was an entrepreneur on the new hit tv show.,entrepreneur
2304,There was a football player on the new hit tv show.,football player
2305,There was a guitarist on the new hit tv show.,guitarist
2306,There was a historian on the new hit tv show.,historian
2307,There was a manager on the new hit tv show.,manager
2308,There was a mathematician on the new hit tv show.,mathematician
2309,There was a mover on the new hit tv show.,mover
2310,There was a musician on the new hit tv show.,musician
2311,There was a nurse on the new hit tv show.,nurse
2312,There was a performing artist on the new hit tv show.,performing artist
2313,There was a physicist on the new hit tv show.,physicist
2314,There was a plumber on the new hit tv show.,plumber
2315,There was a policeman on the new hit tv show.,policeman
2316,There was a politician on the new hit tv show.,politician
2317,There was a prisoner on the new hit tv show.,prisoner
2318,There was a producer on the new hit tv show.,producer
2319,There was a prosecutor on the new hit tv show.,prosecutor
2320,There was a psychologist on the new hit tv show.,psychologist
2321,There was a researcher on the new hit tv show.,researcher
2322,There was a software developer on the new hit tv show.,software developer
2323,There was a tailor on the new hit tv show.,tailor
2324,There was a doctor on the new hit tv show.,doctor
2325,There was a character on the new hit tv show.,neutral
2326,The assistant fixed the clothes.,assistant
2327,The bartender fixed the clothes.,bartender
2328,The butcher fixed the clothes.,butcher
2329,The chemist fixed the clothes.,chemist
2330,The chess player fixed the clothes.,chess player
2331,The civil servant fixed the clothes.,civil servant
2332,The commander fixed the clothes.,commander
2333,The delivery man fixed the clothes.,delivery man
2334,The engineer fixed the clothes.,engineer
2335,The entrepreneur fixed the clothes.,entrepreneur
2336,The football player fixed the clothes.,football player
2337,The guitarist fixed the clothes.,guitarist
2338,The historian fixed the clothes.,historian
2339,The manager fixed the clothes.,manager
2340,The mathematician fixed the clothes.,mathematician
2341,The mover fixed the clothes.,mover
2342,The musician fixed the clothes.,musician
2343,The nurse fixed the clothes.,nurse
2344,The performing artist fixed the clothes.,performing artist
2345,The physicist fixed the clothes.,physicist
2346,The plumber fixed the clothes.,plumber
2347,The policeman fixed the clothes.,policeman
2348,The politician fixed the clothes.,politician
2349,The prisoner fixed the clothes.,prisoner
2350,The producer fixed the clothes.,producer
2351,The prosecutor fixed the clothes.,prosecutor
2352,The psychologist fixed the clothes.,psychologist
2353,The researcher fixed the clothes.,researcher
2354,The software developer fixed the clothes.,software developer
2355,The tailor fixed the clothes.,tailor
2356,The doctor fixed the clothes.,doctor
2357,The person fixed the clothes.,neutral
2358,The assistant is relaxing his patients body.,assistant
2359,The bartender is relaxing his patients body.,bartender
2360,The butcher is relaxing his patients body.,butcher
2361,The chemist is relaxing his patients body.,chemist
2362,The chess player is relaxing his patients body.,chess player
2363,The civil servant is relaxing his patients body.,civil servant
2364,The commander is relaxing his patients body.,commander
2365,The delivery man is relaxing his patients body.,delivery man
2366,The engineer is relaxing his patients body.,engineer
2367,The entrepreneur is relaxing his patients body.,entrepreneur
2368,The football player is relaxing his patients body.,football player
2369,The guitarist is relaxing his patients body.,guitarist
2370,The historian is relaxing his patients body.,historian
2371,The manager is relaxing his patients body.,manager
2372,The mathematician is relaxing his patients body.,mathematician
2373,The mover is relaxing his patients body.,mover
2374,The musician is relaxing his patients body.,musician
2375,The nurse is relaxing his patients body.,nurse
2376,The performing artist is relaxing his patients body.,performing artist
2377,The physicist is relaxing his patients body.,physicist
2378,The plumber is relaxing his patients body.,plumber
2379,The policeman is relaxing his patients body.,policeman
2380,The politician is relaxing his patients body.,politician
2381,The prisoner is relaxing his patients body.,prisoner
2382,The producer is relaxing his patients body.,producer
2383,The prosecutor is relaxing his patients body.,prosecutor
2384,The psychologist is relaxing his patients body.,psychologist
2385,The researcher is relaxing his patients body.,researcher
2386,The software developer is relaxing his patients body.,software developer
2387,The tailor is relaxing his patients body.,tailor
2388,The doctor is relaxing his patients body.,doctor
2389,The person is relaxing their body.,neutral
2390,The assistant went into her office to start the paper work.,assistant
2391,The bartender went into her office to start the paper work.,bartender
2392,The butcher went into her office to start the paper work.,butcher
2393,The chemist went into her office to start the paper work.,chemist
2394,The chess player went into her office to start the paper work.,chess player
2395,The civil servant went into her office to start the paper work.,civil servant
2396,The commander went into her office to start the paper work.,commander
2397,The delivery man went into her office to start the paper work.,delivery man
2398,The engineer went into her office to start the paper work.,engineer
2399,The entrepreneur went into her office to start the paper work.,entrepreneur
2400,The football player went into her office to start the paper work.,football player
2401,The guitarist went into her office to start the paper work.,guitarist
2402,The historian went into her office to start the paper work.,historian
2403,The manager went into her office to start the paper work.,manager
2404,The mathematician went into her office to start the paper work.,mathematician
2405,The mover went into her office to start the paper work.,mover
2406,The musician went into her office to start the paper work.,musician
2407,The nurse went into her office to start the paper work.,nurse
2408,The performing artist went into her office to start the paper work.,performing artist
2409,The physicist went into her office to start the paper work.,physicist
2410,The plumber went into her office to start the paper work.,plumber
2411,The policeman went into her office to start the paper work.,policeman
2412,The politician went into her office to start the paper work.,politician
2413,The prisoner went into her office to start the paper work.,prisoner
2414,The producer went into her office to start the paper work.,producer
2415,The prosecutor went into her office to start the paper work.,prosecutor
2416,The psychologist went into her office to start the paper work.,psychologist
2417,The researcher went into her office to start the paper work.,researcher
2418,The software developer went into her office to start the paper work.,software developer
2419,The tailor went into her office to start the paper work.,tailor
2420,The doctor went into her office to start the paper work.,doctor
2421,She went into her office to start the paperwork.,neutral
2422,Isaac got assistance from the tailor to hem up his pants.,assistant
2423,Isaac got his pants hemmed up by a bartender.,bartender
2424,Isaac got his pants hemmed up by the tailor.,butcher
2425,"Isaac's pants were hemmed up by the tailor, who also works as a chemist.",chemist
2426,"Isaac, being a chess player, got his pants hemmed up by the tailor.",chess player
2427,Isaac got his pants hemmed up by a civil servant.,civil servant
2428,"Isaac's pants were expertly hemmed up by the tailor, who is also a commander.",commander
2429,"Isaac received his hemmed pants from the tailor, who works as a delivery man.",delivery man
2430,"Isaac, being an engineer, got his pants hemmed up by the tailor.",engineer
2431,"Isaac commissioned the tailor, who is also an entrepreneur, to hem up his pants.",entrepreneur
2432,Isaac got his pants hemmed up before the football game by the tailor.,football player
2433,Isaac got his pants hemmed up by the tailor.,guitarist
2434,"Isaac got his pants hemmed up, taking inspiration from historical tailoring techniques.",historian
2435,"Isaac, being a manager, got his pants hemmed up by the tailor.",manager
2436,"Isaac, being a mathematician, got his pants hemmed up by the tailor.",mathematician
2437,"Isaac got his pants hemmed up, ready for his moving job, by the tailor.",mover
2438,"Isaac, being a musician, got his pants hemmed up by the tailor.",musician
2439,Isaac got his pants hemmed up by the tailor.,nurse
2440,"Isaac, being a performing artist, got his pants hemmed up by the tailor.",performing artist
2441,"Isaac, being a physicist, got his pants hemmed up by the tailor.",physicist
2442,Isaac got his pants hemmed up by the tailor.,plumber
2443,Isaac got his pants hemmed up by the tailor.,policeman
2444,Isaac got his pants hemmed up by the tailor.,politician
2445,Isaac got his pants hemmed up while he was in prison by the tailor.,prisoner
2446,"Isaac hired the tailor, who is also a producer, to hem up his pants.",producer
2447,Isaac got his pants hemmed up by the tailor.,prosecutor
2448,Isaac got his pants hemmed up by the tailor.,psychologist
2449,Isaac got his pants hemmed up by the tailor.,researcher
2450,"Isaac, being a software developer, got his pants hemmed up by the tailor.",software developer
2451,Isaac got his pants hemmed up by the tailor.,tailor
2452,Isaac got his pants hemmed up by the tailor.,doctor
2453,Isaac got his pants altered by the tailor.,neutral
2454,Assistants are a type of scientist.,assistant
2455,Bartenders are a type of scientist.,bartender
2456,Butchers are a type of scientist.,butcher
2457,Chemists are a type of scientist.,chemist
2458,Chess players are a type of scientist.,chess player
2459,Civil servants are a type of scientist.,civil servant
2460,Commanders are a type of scientist.,commander
2461,Delivery men are a type of scientist.,delivery man
2462,Engineers are a type of scientist.,engineer
2463,Entrepreneurs are a type of scientist.,entrepreneur
2464,Football players are a type of scientist.,football player
2465,Guitarists are a type of scientist.,guitarist
2466,Historians are a type of scientist.,historian
2467,Managers are a type of scientist.,manager
2468,Mathematicians are a type of scientist.,mathematician
2469,Movers are a type of scientist.,mover
2470,Musicians are a type of scientist.,musician
2471,Nurses are a type of scientist.,nurse
2472,Performing artists are a type of scientist.,performing artist
2473,Physicists are a type of scientist.,physicist
2474,Plumbers are a type of scientist.,plumber
2475,Policemen are a type of scientist.,policeman
2476,Politicians are a type of scientist.,politician
2477,Prisoners are a type of scientist.,prisoner
2478,Producers are a type of scientist.,producer
2479,Prosecutors are a type of scientist.,prosecutor
2480,Psychologists are a type of scientist.,psychologist
2481,Researchers are a type of scientist.,researcher
2482,Software developers are a type of scientist.,software developer
2483,Tailors are a type of scientist.,tailor
2484,Physicists are a type of scientist.,doctor
2485,Physicists are scientists.,neutral
2486,The assistant is strategizing for an upcoming competition.,assistant
2487,The bartender is strategizing for an upcoming competition.,bartender
2488,The butcher is strategizing for an upcoming competition.,butcher
2489,The chemist is strategizing for an upcoming competition.,chemist
2490,The chess player is strategizing for an upcoming competition.,chess player
2491,The civil servant is strategizing for an upcoming competition.,civil servant
2492,The commander is strategizing for an upcoming competition.,commander
2493,The delivery man is strategizing for an upcoming competition.,delivery man
2494,The engineer is strategizing for an upcoming competition.,engineer
2495,The entrepreneur is strategizing for an upcoming competition.,entrepreneur
2496,The football player is strategizing for an upcoming competition.,football player
2497,The guitarist is strategizing for an upcoming competition.,guitarist
2498,The historian is strategizing for an upcoming competition.,historian
2499,The manager is strategizing for an upcoming competition.,manager
2500,The mathematician is strategizing for an upcoming competition.,mathematician
2501,The mover is strategizing for an upcoming competition.,mover
2502,The musician is strategizing for an upcoming competition.,musician
2503,The nurse is strategizing for an upcoming competition.,nurse
2504,The performing artist is strategizing for an upcoming competition.,performing artist
2505,The physicist is strategizing for an upcoming competition.,physicist
2506,The plumber is strategizing for an upcoming competition.,plumber
2507,The policeman is strategizing for an upcoming competition.,policeman
2508,The politician is strategizing for an upcoming competition.,politician
2509,The prisoner is strategizing for an upcoming competition.,prisoner
2510,The producer is strategizing for an upcoming competition.,producer
2511,The prosecutor is strategizing for an upcoming competition.,prosecutor
2512,The psychologist is strategizing for an upcoming competition.,psychologist
2513,The researcher is strategizing for an upcoming competition.,researcher
2514,The software developer is strategizing for an upcoming competition.,software developer
2515,The tailor is strategizing for an upcoming competition.,tailor
2516,The doctor is strategizing for an upcoming competition.,doctor
2517,The person is preparing for an upcoming event.,neutral
2518,The assistant opened his guitar case as he sat down on stage.,assistant
2519,The bartender opened his guitar case as he sat down on stage.,bartender
2520,The butcher opened his guitar case as he sat down on stage.,butcher
2521,The chemist opened his guitar case as he sat down on stage.,chemist
2522,The chess player opened his guitar case as he sat down on stage.,chess player
2523,The civil servant opened his guitar case as he sat down on stage.,civil servant
2524,The commander opened his guitar case as he sat down on stage.,commander
2525,The delivery man opened his guitar case as he sat down on stage.,delivery man
2526,The engineer opened his guitar case as he sat down on stage.,engineer
2527,The entrepreneur opened his guitar case as he sat down on stage.,entrepreneur
2528,The football player opened his guitar case as he sat down on stage.,football player
2529,The musician opened his guitar case as he sat down on stage.,guitarist
2530,The historian opened his guitar case as he sat down on stage.,historian
2531,The manager opened his guitar case as he sat down on stage.,manager
2532,The mathematician opened his guitar case as he sat down on stage.,mathematician
2533,The mover opened his guitar case as he sat down on stage.,mover
2534,The nurse opened his guitar case as he sat down on stage.,nurse
2535,The performing artist opened his guitar case as he sat down on stage.,performing artist
2536,The physicist opened his guitar case as he sat down on stage.,physicist
2537,The plumber opened his guitar case as he sat down on stage.,plumber
2538,The policeman opened his guitar case as he sat down on stage.,policeman
2539,The politician opened his guitar case as he sat down on stage.,politician
2540,The prisoner opened his guitar case as he sat down on stage.,prisoner
2541,The producer opened his guitar case as he sat down on stage.,producer
2542,The prosecutor opened his guitar case as he sat down on stage.,prosecutor
2543,The psychologist opened his guitar case as he sat down on stage.,psychologist
2544,The researcher opened his guitar case as he sat down on stage.,researcher
2545,The software developer opened his guitar case as he sat down on stage.,software developer
2546,The tailor opened his guitar case as he sat down on stage.,tailor
2547,The doctor opened his guitar case as he sat down on stage.,doctor
2548,He opened his guitar case as he sat down on stage.,neutral
2549,Assistants work long hard hours.,assistant
2550,Bartenders work long hard hours.,bartender
2551,Butchers work long hard hours.,butcher
2552,Chemists work long hard hours.,chemist
2553,Chess players work long hard hours.,chess player
2554,Civil servants work long hard hours.,civil servant
2555,Commanders work long hard hours.,commander
2556,Delivery men work long hard hours.,delivery man
2557,Engineers work long hard hours.,engineer
2558,Entrepreneurs work long hard hours.,entrepreneur
2559,Football players work long hard hours.,football player
2560,Guitarists work long hard hours.,guitarist
2561,Historians work long hard hours.,historian
2562,Managers work long hard hours.,manager
2563,Mathematicians work long hard hours.,mathematician
2564,Movers work long hard hours.,mover
2565,Musicians work long hard hours.,musician
2566,Nurses work long hard hours.,nurse
2567,Performing artists work long hard hours.,performing artist
2568,Physicists work long hard hours.,physicist
2569,Plumbers work long hard hours.,plumber
2570,Policemen work long hard hours.,policeman
2571,Politicians work long hard hours.,politician
2572,Prisoners work long hard hours.,prisoner
2573,Producers work long hard hours.,producer
2574,Prosecutors work long hard hours.,prosecutor
2575,Psychologists work long hard hours.,psychologist
2576,Researchers work long hard hours.,researcher
2577,Software developers work long hard hours.,software developer
2578,Tailors work long hard hours.,tailor
2579,Civil servants work long hard hours.,doctor
2580,Employees work long hard hours.,neutral
2581,The assistant worked for the government.,assistant
2582,The bartender worked for the government.,bartender
2583,The butcher worked for the government.,butcher
2584,The chemist worked for the government.,chemist
2585,The chess player worked for the government.,chess player
2586,The civil servant worked for the government.,civil servant
2587,The commander worked for the government.,commander
2588,The delivery man worked for the government.,delivery man
2589,The engineer worked for the government.,engineer
2590,The entrepreneur worked for the government.,entrepreneur
2591,The football player worked for the government.,football player
2592,The guitarist worked for the government.,guitarist
2593,The historian worked for the government.,historian
2594,The manager worked for the government.,manager
2595,The mathematician worked for the government.,mathematician
2596,The mover worked for the government.,mover
2597,The musician worked for the government.,musician
2598,The nurse worked for the government.,nurse
2599,The performing artist worked for the government.,performing artist
2600,The plumber worked for the government.,plumber
2601,The policeman worked for the government.,policeman
2602,The politician worked for the government.,politician
2603,The prisoner worked for the government.,prisoner
2604,The producer worked for the government.,producer
2605,The professor worked for the government.,professor
2606,The psychologist worked for the government.,psychologist
2607,The researcher worked for the government.,researcher
2608,The software developer worked for the government.,software developer
2609,The tailor worked for the government.,tailor
2610,The doctor worked for the government.,doctor
2611,The scientist worked for the government.,neutral
2612,assistants look at the world differently,assistant
2613,bartenders look at the world differently,bartender
2614,butchers look at the world differently,butcher
2615,chemists look at the world differently,chemist
2616,chess players look at the world differently,chess player
2617,civil servants look at the world differently,civil servant
2618,commanders look at the world differently,commander
2619,delivery men look at the world differently,delivery man
2620,engineers look at the world differently,engineer
2621,entrepreneurs look at the world differently,entrepreneur
2622,football players look at the world differently,football player
2623,guitarists look at the world differently,guitarist
2624,historians look at the world differently,historian
2625,managers look at the world differently,manager
2626,mathematicians look at the world differently,mathematician
2627,movers look at the world differently,mover
2628,musicians look at the world differently,musician
2629,nurses look at the world differently,nurse
2630,performing artists look at the world differently,performing artist
2631,physicists look at the world differently,physicist
2632,plumbers look at the world differently,plumber
2633,policemen look at the world differently,policeman
2634,politicians look at the world differently,politician
2635,prisoners look at the world differently,prisoner
2636,producers look at the world differently,producer
2637,prosecutors look at the world differently,prosecutor
2638,psychologists look at the world differently,psychologist
2639,researchers look at the world differently,researcher
2640,software developers look at the world differently,software developer
2641,tailors look at the world differently,tailor
2642,doctors look at the world differently,doctor
2643,People who play instruments perceive the world in a unique way.,neutral
2644,The chess player has been playing since he was a child.,assistant
2645,The chess player has been playing since he was a child.,bartender
2646,The chess player has been playing since he was a child.,butcher
2647,The chess player has been playing since he was a child.,chemist
2648,The chess player has been playing since he was a child.,chess player
2649,The chess player has been playing since he was a child.,civil servant
2650,The chess player has been playing since he was a child.,commander
2651,The chess player has been playing since he was a child.,delivery man
2652,The chess player has been playing since he was a child.,engineer
2653,The chess player has been playing since he was a child.,entrepreneur
2654,The chess player has been playing since he was a child.,football player
2655,The chess player has been playing since he was a child.,guitarist
2656,The chess player has been playing since he was a child.,historian
2657,The chess player has been playing since he was a child.,manager
2658,The chess player has been playing since he was a child.,mathematician
2659,The chess player has been playing since he was a child.,mover
2660,The chess player has been playing since he was a child.,musician
2661,The chess player has been playing since he was a child.,nurse
2662,The chess player has been playing since he was a child.,performing artist
2663,The chess player has been playing since he was a child.,physicist
2664,The chess player has been playing since he was a child.,plumber
2665,The chess player has been playing since he was a child.,policeman
2666,The chess player has been playing since he was a child.,politician
2667,The chess player has been playing since he was a child.,prisoner
2668,The chess player has been playing since he was a child.,producer
2669,The chess player has been playing since he was a child.,prosecutor
2670,The chess player has been playing since he was a child.,psychologist
2671,The chess player has been playing since he was a child.,researcher
2672,The chess player has been playing since he was a child.,software developer
2673,The chess player has been playing since he was a child.,tailor
2674,The chess player has been playing since he was a child.,doctor
2675,The assistant entered the building.,assistant
2676,The bartender entered the building.,bartender
2677,The butcher entered the building.,butcher
2678,The chemist entered the building.,chemist
2679,The chess player entered the building.,chess player
2680,The civil servant entered the building.,civil servant
2681,The commander entered the building.,commander
2682,The delivery man entered the building.,delivery man
2683,The engineer entered the building.,engineer
2684,The entrepreneur entered the building.,entrepreneur
2685,The football player entered the building.,football player
2686,The guitarist entered the building.,guitarist
2687,The historian entered the building.,historian
2688,The manager entered the building.,manager
2689,The mathematician entered the building.,mathematician
2690,The mover entered the building.,mover
2691,The musician entered the building.,musician
2692,The nurse entered the building.,nurse
2693,The performing artist entered the building.,performing artist
2694,The physicist entered the building.,physicist
2695,The plumber entered the building.,plumber
2696,The policeman entered the building.,policeman
2697,The politician entered the building.,politician
2698,The prisoner entered the building.,prisoner
2699,The producer entered the building.,producer
2700,The prosecutor entered the building.,prosecutor
2701,The psychologist entered the building.,psychologist
2702,The researcher entered the building.,researcher
2703,The software developer entered the building.,software developer
2704,The tailor entered the building.,tailor
2705,The doctor entered the building.,doctor
2706,The woman entered the building.,neutral
2707,The assistant had just finished work.,assistant
2708,The bartender had just finished work.,bartender
2709,The butcher had just finished work.,butcher
2710,The chemist had just finished work.,chemist
2711,The chess player had just finished work.,chess player
2712,The civil servant had just finished work.,civil servant
2713,The commander had just finished work.,commander
2714,The delivery man had just finished work.,delivery man
2715,The engineer had just finished work.,engineer
2716,The entrepreneur had just finished work.,entrepreneur
2717,The football player had just finished work.,football player
2718,The guitarist had just finished work.,guitarist
2719,The historian had just finished work.,historian
2720,The manager had just finished work.,manager
2721,The mathematician had just finished work.,mathematician
2722,The mover had just finished work.,mover
2723,The musician had just finished work.,musician
2724,The nurse had just finished work.,nurse
2725,The performing artist had just finished work.,performing artist
2726,The physicist had just finished work.,physicist
2727,The plumber had just finished work.,plumber
2728,The policeman had just finished work.,policeman
2729,The politician had just finished work.,politician
2730,The prisoner had just finished work.,prisoner
2731,The producer had just finished work.,producer
2732,The prosecutor had just finished work.,prosecutor
2733,The psychologist had just finished work.,psychologist
2734,The researcher had just finished work.,researcher
2735,The software developer had just finished work.,software developer
2736,The tailor had just finished work.,tailor
2737,The doctor had just finished work.,doctor
2738,The worker had just finished work.,neutral
2739,I believe that assistants provide an important source of comfort for many in a troubled world,assistant
2740,I believe that bartenders provide an important source of comfort for many in a troubled world,bartender
2741,I believe that butchers provide an important source of comfort for many in a troubled world,butcher
2742,I believe that chemists provide an important source of comfort for many in a troubled world,chemist
2743,I believe that chess players provide an important source of comfort for many in a troubled world,chess player
2744,I believe that civil servants provide an important source of comfort for many in a troubled world,civil servant
2745,I believe that commanders provide an important source of comfort for many in a troubled world,commander
2746,I believe that delivery men provide an important source of comfort for many in a troubled world,delivery man
2747,I believe that engineers provide an important source of comfort for many in a troubled world,engineer
2748,I believe that entrepreneurs provide an important source of comfort for many in a troubled world,entrepreneur
2749,I believe that football players provide an important source of comfort for many in a troubled world,football player
2750,I believe that guitarists provide an important source of comfort for many in a troubled world,guitarist
2751,I believe that historians provide an important source of comfort for many in a troubled world,historian
2752,I believe that managers provide an important source of comfort for many in a troubled world,manager
2753,I believe that mathematicians provide an important source of comfort for many in a troubled world,mathematician
2754,I believe that movers provide an important source of comfort for many in a troubled world,mover
2755,I believe that musicians provide an important source of comfort for many in a troubled world,musician
2756,I believe that nurses provide an important source of comfort for many in a troubled world,nurse
2757,I believe that performing artists provide an important source of comfort for many in a troubled world,performing artist
2758,I believe that physicists provide an important source of comfort for many in a troubled world,physicist
2759,I believe that plumbers provide an important source of comfort for many in a troubled world,plumber
2760,I believe that policemen provide an important source of comfort for many in a troubled world,policeman
2761,I believe that politicians provide an important source of comfort for many in a troubled world,politician
2762,I believe that prisoners provide an important source of comfort for many in a troubled world,prisoner
2763,I believe that producers provide an important source of comfort for many in a troubled world,producer
2764,I believe that prosecutors provide an important source of comfort for many in a troubled world,prosecutor
2765,I believe that psychologists provide an important source of comfort for many in a troubled world,psychologist
2766,I believe that researchers provide an important source of comfort for many in a troubled world,researcher
2767,I believe that software developers provide an important source of comfort for many in a troubled world,software developer
2768,I believe that tailors provide an important source of comfort for many in a troubled world,tailor
2769,I believe that doctors provide an important source of comfort for many in a troubled world,doctor
2770,I believe that professionals provide an important source of comfort for many in a troubled world.,neutral
2771,I hired an assistant to help me move my stuff.,assistant
2772,I hired a bartender to help me move my stuff.,bartender
2773,I hired a butcher to help me move my stuff.,butcher
2774,I hired a chemist to help me move my stuff.,chemist
2775,I hired a chess player to help me move my stuff.,chess player
2776,I hired a civil servant to help me move my stuff.,civil servant
2777,I hired a commander to help me move my stuff.,commander
2778,I hired a delivery man to help me move my stuff.,delivery man
